Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C3, C4, C5, C6, C7, C8, C9",GRM32EC72A106KE05L,19,GRM32EC72A106KE05L,
"C20, C25, C27, C32",CL31B105KCHNNNE,4,CL31B105KCHNNNE,
C21,GRM32ER71J106KA12L,1,GRM32ER71J106KA12L,
"C22, C24, C28, C29, C30, C31, C33, C34, C35, C36",CC0603JRX7R9BB104,10,100nF 50V,
C23,CC0603KRX7R0BB473,1,47nF 100V,
C26,GRM155R60J475ME87D,1,GRM155R60J475ME87D,
C37,CL31B225KCHSNNE,1,2.2uF,
C38,CL10B222KB8NNNC,1,CL10B222KB8NNNC,
C39,GRM31CR61E476ME44L,1,GRM31CR61E476ME44L,
"C40, C41",GRM32ER71E226KE15L,2,GRM32ER71E226KE15L,
C42,RC0402FR_0752K3L,1,CC0402JRNPO9BN560,
C43,CC0603JRX7R9BB104,1,Samsung Electro-Mechanics CL10B332KB8NNNC,
"CN3(OUT)1, CN3(OUT)2",XT30(2+2)PB-M.G.B,2,XT30(2+2)PB-M.G.B,
D1,LTST-C190KGKT,1,LTST-C190KGKT,
D2,LTST_C191KRKT,1,LITEON LTST-C191KRKT,
FL1,BLM18AG601SN1D,1,BLM18AG601SN1D,
"J1, J2",BM07B-SRSS-TB,2,JST BM07B-SRSS-TB(LF)(SN),
L1,VLS5045EX_680M,1,TDK VLS5045EX-680M,
"L2, L3",DFE252012PD_2R2M_P2,2,2.2uH,
"Q1, Q2, Q3, Q4, Q5, Q6",FDMS039N08B,6,FDMS039N08B,
R1,RC0402FR_07150KL,1,RC0402FR-07150KL,
R10,RC0402FR_0742K2L,1,RC0402FR-0742K2L,
R11,RC0402FR_0780K6L,1,RC0402FR-0780K6L,
R12,RC0402FR_0752K3L,1,RC0402FR-0752K3L,
R13,RC0805FR_07100KL,1,RC0805FR-07100KL,
R14,RT0603BRD0749K9L,1,RT0603BRD0749K9L,
"R15, R9",RT0603BRD07448KL,2,0603WAF4533T5E,
R2,RT0402DRE0710KL,1,RT0402DRE0710KL,
"R3, R4",RC0402FR_0710KL,2,RC0402FR-0710KL,
"R5, R6",WSLP20101L000FEA,2,WSLP20101L000FEA,
"R7, R8",RC0402JR-07200RL,2,200oh,
TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+12V TestPoint,
"TP10, TP5, TP6",TestPoint_THTPad_D1.0mm_Drill0.5mm,3,TP_Can_tx,
"TP11, TP7",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TP_MOSI,
"TP12, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TP_CS,
TP13,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_MISO,
TP14,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_SCK,
TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+48V TestPoint,
TP3,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+5V TestPoint,
TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+3.3V TestPoint,
TP8,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_CLK,
"TP_GND1, TP_GND2",TestPoint_THTPad_D1.5mm_Drill0.7mm,2,GND TestPoint,
U1,STM32F446RCT6,1,STM32F446RCT6,
U2,DRV8353SRTAR,1,DRV8353SRTAR,
U3,MCP2542FD_E_MF,1,MCP2542FD-E/MF,
U4,MA732GQ-Z,1,MA732GQ-Z,
"U5, U6",TPS629203DRLR,2,TPS629203DRLR,
VR1,LM5164DDAR,1,LM5164DDAR,
Y1,CSTNE8M00G550000R0,1,CSTNE8M00G550000R0,
